Date,Value
2021-08-02,37640.867719298236
2021-08-09,37640.867719298236
2021-08-16,37640.867719298236
2021-08-23,37640.867719298236
2021-08-30,37640.867719298236
2021-09-06,37640.867719298236
2021-09-13,37640.867719298236
2021-09-20,37640.867719298236
2021-09-27,37640.867719298236
2021-10-04,37640.867719298236
2021-10-11,37640.867719298236
2021-10-18,37640.867719298236
2021-10-25,37640.867719298236
2021-11-01,37640.867719298236
2021-11-08,37640.867719298236
2021-11-15,37640.867719298236
2021-11-22,37640.867719298236
2021-11-29,37640.867719298236
2021-12-06,37640.867719298236
2021-12-13,37640.867719298236
2021-12-20,37640.867719298236
2021-12-27,37640.867719298236
2022-01-03,37640.867719298236
2022-01-10,37640.867719298236
2022-01-17,37640.867719298236
2022-01-24,37640.867719298236
2022-01-31,37640.867719298236
2022-02-07,37640.867719298236
2022-02-14,37640.867719298236
2022-02-21,37640.867719298236
2022-02-28,37640.867719298236
2022-03-07,37640.867719298236
2022-03-14,37640.867719298236
2022-03-21,37640.867719298236
2022-03-28,37640.867719298236
2022-04-04,37640.867719298236
2022-04-11,37640.867719298236
2022-04-18,37640.867719298236
2022-04-25,37640.867719298236
2022-05-02,37640.867719298236
2022-05-09,37640.867719298236
2022-05-16,37640.867719298236
2022-05-23,37640.867719298236
2022-05-30,37640.867719298236
2022-06-06,37640.867719298236
2022-06-13,37640.867719298236
2022-06-20,37640.867719298236
2022-06-27,37640.867719298236
2022-07-04,37640.867719298236
2022-07-11,37640.867719298236
2022-07-18,37640.867719298236
2022-07-25,37640.867719298236
2022-08-01,37640.867719298236
2022-08-08,37640.867719298236
2022-08-15,37640.867719298236
2022-08-22,37640.867719298236
2022-08-29,37640.867719298236
